id,title,description,dcat_ap_id,dcat_ap_title,en_iso_19115_id,en_iso_19115_title,inspire_id,inspire_title
Bundestagswahl Wähler,Bundestagswahl Wähler,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach überwiegender Heizungsart keine Heizung,Gebäude nach überwiegender Heizungsart keine Heizung,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Bundestagswahl Zweitstimme FWD,Bundestagswahl Zweitstimme FWD,,GOVE,Government and public sector,society,Society,PD,Population distribution — demography
(SDG 7) Ladesäuleninfrastruktur,(SDG 7) Ladesäuleninfrastruktur,,ENER,Energy,utilitiesCommunication,Utilities / Communication,ER,Energy resources
Erreichbarkeit,Erreichbarkeit,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Bundestagswahl Erststimme MLPD,Bundestagswahl Erststimme MLPD,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Allgemeinärzte,Allgemeinärzte,,HEAL,Health,health,Health,HH,Human health and safety
Bundestagswahl Zweitstimme BüSo,Bundestagswahl Zweitstimme BüSo,,GOVE,Government and public sector,society,Society,PD,Population distribution — demography
Typ der Kernfamilie  nach Kindern Eingetragene Lebenspartnerschaft und min. ein Kind unter 18,Typ der Kernfamilie  nach Kindern Eingetragene Lebenspartnerschaft und min. ein Kind unter 18,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme FAMILIE,Bundestagswahl Erststimme FAMILIE,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Wohnung Gebäudetyp Größe Einfamilienhaus Reihenhaus,Wohnung Gebäudetyp Größe Einfamilienhaus Reihenhaus,,SOCI,Population and society,structure,Structure,BU,Buildings
Seniorenstatus eines privaten Haushalts Haushalte insgesamt,Seniorenstatus eines privaten Haushalts Haushalte insgesamt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Fläche der Wohnung 10m2 Intervalle unter 30,Fläche der Wohnung 10m2 Intervalle unter 30,,SOCI,Population and society,society,Society,BU,Buildings
Bundestagswahl Erststimme Demokratie verteidigen,Bundestagswahl Erststimme Demokratie verteidigen,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Zuzugsrate Frauen,Zuzugsrate Frauen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Typ der Kernfamilie  nach Kindern Munder und min. ein Kind unter 18,Typ der Kernfamilie  nach Kindern Munder und min. ein Kind unter 18,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Leerstandsquote Leerstandsquote,Leerstandsquote Leerstandsquote,,SOCI,Population and society,society,Society,BU,Buildings
Heißen Tage,Heißen Tage,,ENVI,Environment,climatologyMeteorologyAtmosphere,Climatology / Meteorology / Atmosphere,AC-MF,Atmospheric Conditions and meteorological geographical features
